Hardware,Serial Number,Current Price - Yesterday
iGame Geforce RTX 3060 12GB GDDR6 bilibili E-sports Edition OC LHR,9BT7W21,8379000
Asus GeForce RTX 3060 Ti 8GB GDDR6 - KO Gaming-V2 OC Ready,JKWFN21,8380000
Gigabyte GeForce RTX 3060 Ti 8GB GDDR6 Gaming OC Rev2.0 - GV-N306TGAMING OC-8GD,230QN21,8460000
MSI GeForce RTX 3060 Ti 8GB GDDR6 - Gaming X-LHR Ready,H6NKM21,8499000
Asus GeForce RTX 3060 Ti 8GB GDDR6 - TUF Gaming-V2 OC Ready,NMNTH21,8610000
Gigabyte GeForce RTX 3060 Ti 8GB GDDR6 Gaming OC PRO Rev3.0 - GV-N306TGAMING OC PRO-8GD,DH9HP21,8940000
Gigabyte GeForce RTX 3060 Ti 8GB GDDR6 Vision OC Rev2.0 - GV-N306TVISION OC-8GD,1NJNZ21,8950000
Asus GeForce RTX 3060 Ti 8GB GDDR6 - ROG Strix-V2 OC Ready,QM61R21,8990000
MSI GeForce RTX 3060 Ti 8GB GDDR6 - Ventus 3X OC-LHR,Y9SKN21,9150000
MSI GeForce RTX 3060 Ti 8GB GDDR6 - Gaming Z TRIO-LHR,5EP3222,10150000
