Hardware,Serial Number,Current Price - Yesterday,Delta_From Site
ADATA DDR4 XPG SPECTRIX D45G PC28800 3600MHz 32GB (2X16GB) Dual Channel - RGB - AX4U360016G18I-DCBKD45G,HUSBK21,1796000,56000
ADATA DDR4 XPG SPECTRIX D60G PC25600 3200MHz 32GB (2X16GB) Dual Channel - RGB - AX4U320016G16A-DT60 Ready Best Seller!!!,U6EEB19,1796000,56000
ADATA DDR4 XPG SPECTRIX D50 WHITE VERSION PC25600 3200MHz 32GB (2X16GB) Dual Channel - RGB - AX4U320016G16A-DW50 Ready Best Seller!!!,Q40WJ20,1756000,55000
ADATA DDR4 XPG SPECTRIX D50 WHITE VERSION PC28800 3600MHz 32GB (2X16GB) Dual Channel - RGB - AX4U360016G18I-DW50,Q5BH620,1836000,55000
ADATA DDR4 XPG SPECTRIX D60G PC28800 3600MHz 32GB (2X16GB) Dual Channel - RGB - AX4U360016G18I-DT60 Ready Best Seller!!!,UHHFD20,1876000,55000
ADATA DDR4 XPG SPECTRIX D50 PC28800 3600MHz 32GB (2X16GB) Dual Channel - RGB - AX4U360016G18I-DT50 Ready Best Seller!!!,JQBA820,1836000,55000
ADATA DDR4 XPG SPECTRIX D50 PC25600 3200MHz 32GB (2X16GB) Dual Channel - RGB - AX4U320016G16A-DT50,AWDUH20,1756000,55000
"ASUS VP248H 24"" FHD 75Hz - Response Time 1ms Ready",74NVV22,2339000,51000
V-GeN TsunamiR DDR4 PC24000 3000Mhz Dual Channel 8GB (2x4GB) 15-17-17-35,1BXCH21,598000,50000
V-GeN TsunamiR DDR4 PC21000 2666Mhz Dual Channel 8GB (2x4GB) 15-17-17-35,2KY5821,578000,50000
V-GeN TsunamiR DDR4 PC21000 2666Mhz Dual Channel 8GB (2x4GB) 16-18-18-35,RFDAX21,568000,50000
V-GeN TsunamiR DDR4 PC24000 3000Mhz Dual Channel 8GB (2x4GB) 16-18-18-35,07SFW21,588000,50000
V-GeN TsunamiR DDR4 PC25600 3200Mhz Dual Channel 8GB (2x4GB) 16-19-19-37,F5Z4F21,618000,50000
V-GeN TsunamiR DDR4 PC25600 3200Mhz Dual Channel 8GB (2x4GB) 16-18-18-36,WYAYU21,628000,50000
V-GeN TsunamiR DDR4 PC24000 3000Mhz Single Channel 8GB (1x8GB) 15-17-17-35,SCMW221,455000,45000
V-GeN TsunamiR DDR4 PC21000 2666Mhz Single Channel 8GB (1x8GB) 16-18-18-35,HUW3321,430000,45000
V-GeN TsunamiR DDR4 PC21000 2666Mhz Single Channel 8GB (1x8GB) 15-17-17-35,K4YJB21,435000,45000
V-GeN TsunamiR DDR4 PC25600 3200Mhz Single Channel 8GB (1x8GB) 16-18-18-36,8EYJ121,475000,45000
V-GeN TsunamiR DDR4 PC27000 3333Mhz Single Channel 8GB (1x8GB) 16-18-18-36,0CHHQ21,495000,45000
V-GeN TsunamiR DDR4 PC28800 3600Mhz Single Channel 8GB (1x8GB) 18-19-19-39,941B421,525000,45000
V-GeN TsunamiR DDR4 PC28800 3600Mhz Single Channel 8GB (1x8GB) 18-22-22-42,JK5VE21,515000,45000
Toshiba Canvio Basic 2TB USB 3.0,a72d0f26-9e66-4735-8edd-fe3d7d4b500d,870000,45000
ADATA DDR5 XPG LANCER WHITE VERSION PC41600 5200MHz 16GB (1X16GB) Single Channel - RGB - AX5U5200C3816G-CLARWH,J0E5F22,1666000,38000
"Lenovo D24-20 23.8"" FHD Edgeless Design Ready",QZX1221,1690000,35000
Gskill DDR4 Flare X PC25600 32GB (2x16GB) Dual Channel F4-3200C16D-32GFX - For AMD Ryzen,6SC9C20,1599000,35000
Sandisk MicroSD Extreme 256GB U3 4K V30 R160MB/s W90MB/s - SDSQXA1-256G V30 A2,TT84218,493000,32000
Gskill DDR4 SniperX PC28800 16GB (2x8GB) Dual Channel F4-3600C19D-16GSXKB,Y9QWE18,890000,30000
"LG 21.5"" 22MN430M-B FHD IPS with AMD FreeSync Ready Best Seller!!!",0CUAP20,1500000,30000
Apacer DDR4 PC25600 3200Mhz Dual Channel 16GB (2x8GB) - NOX Gaming Series Ready,XQH0W21,845000,30000
Toshiba Canvio Basic 1TB USB 3.0,6e59476d-ebfe-4340-bf36-02efb182f9db,570000,30000
ADATA DDR4 XPG GAMMIX D30 PC25600 3200MHz 16GB (2X8GB) Dual Channel - AX4U32008G16A-DR30,28S4821,795000,29000
ADATA DDR4 XPG SPECTRIX D41 GREY PC25600 3200MHz 16GB (2X8GB) Dual Channel - RGB - AX4U32008G16A-DT41,TYW1C21,894000,29000
ADATA DDR4 XPG SPECTRIX D45G PC28800 3600MHz 16GB (2X8GB) Dual Channel - RGB - AX4U36008G18I-DCBKD45G,P6AVM21,974000,29000
ADATA DDR4 XPG SPECTRIX D45G WHITE VERSION PC28800 3600MHz 16GB (2X8GB) Dual Channel - RGB - AX4U36008G18I-DCWHD45G,P7TKN22,974000,29000
